"";"x"
"1";1
"2";0.993610984181413
"3";0.993806198442559
"4";1.03020839143857
"5";1.03662606523799
"6";1.04431067446164
"7";1.08595341629054
"8";1.10128386581182
"9";1.0789360592576
"10";1.06933650592736
"11";1.06494710239955
"12";1.09659153513647
"13";1.10982577251844
"14";1.12414019272928
"15";1.1320522371858
"16";1.12492380215538
"17";1.17146319874366
"18";1.18887867651282
"19";1.14852467919423
"20";1.1703529256102
"21";1.1649166285609
"22";1.14578850066884
"23";1.14629333364079
"24";1.12841439787226
"25";1.11743472595934
"26";1.10886264920765
"27";1.07723867378768
"28";1.10071142895304
"29";1.1094053895457
"30";1.08965534387445
"31";1.12270140101632
"32";1.13776638701275
"33";1.13651390725392
"34";1.16261074024885
"35";1.18890270384678
"36";1.21441491061094
"37";1.23718076046247
"38";1.25698194244425
"39";1.26146700034495
"40";1.25980390313812
"41";1.2562695518943
"42";1.24489665298762
"43";1.24569570278137
"44";1.22040923891519
"45";1.28064692900409
"46";1.31827571149807
"47";1.29519651392006
"48";1.29098402173947
"49";1.2851450971739
"50";1.31163038283095
"51";1.3157456630936
"52";1.32879154894062
"53";1.33442299411073
"54";1.33969446279671
"55";1.38349598863211
"56";1.38388976034454
"57";1.43336899389187
"58";1.39633724837818
"59";1.41955697300092
"60";1.42992488792595
"61";1.44302376431263
"62";1.46101812415036
"63";1.4533730102258
"64";1.45066623201123
"65";1.42825213520149
"66";1.40468852675855
"67";1.4200415928126
"68";1.43972245793988
"69";1.44818412206847
"70";1.48224197772416
"71";1.55170990137861
"72";1.54393887448301
"73";1.48134948163069
"74";1.51872057696902
"75";1.50453554030602
"76";1.491114858191
"77";1.52933881438797
"78";1.52796996540389
"79";1.49829183142522
"80";1.51096988072299
"81";1.51402841424303
"82";1.52148861293285
"83";1.54063522361306
"84";1.53661449044641
"85";1.56403519423544
"86";1.56464570744133
"87";1.58264112981903
"88";1.62552661310074
"89";1.64762599788295
"90";1.64479676749466
"91";1.69112330112481
"92";1.73336232107624
"93";1.76091049091495
"94";1.77785153835874
"95";1.76411211504888
"96";1.82150040865901
"97";1.80842331700566
"98";1.89838216233286
"99";1.96689123391375
"100";1.96706037970619
"101";1.93636366997001
